Time:	Temperature(C):	Altitude(m):
2016 01 19::04:20:38:420	60.73059550727513	-113.92953567692473	
2016 01 19::04:20:38:921	355.76073604136207	-113.92690446928508	
2016 01 19::04:20:39:423	448.72420365392384	-112.50385729053374	
2016 01 19::04:20:39:924	488.6376784884669	-112.08211730060295	
2016 01 19::04:20:40:425	695.6306884728492	-111.99336342587156	
2016 01 19::04:20:40:926	820.1319414558666	-111.37978935948115	
2016 01 19::04:20:41:427	843.0405384875918	-110.29670428446201	
2016 01 19::04:20:41:928	926.0144651126603	-109.85053614929741	
2016 01 19::04:20:42:430	948.3087172918656	-109.84153803895353	
2016 01 19::04:20:42:930	973.5331102173978	-109.70754385270351	
2016 01 19::04:20:43:431	1221.8950625811417	-109.41602845437322	
2016 01 19::04:20:43:932	1230.3434043527698	-108.92785071915708	
2016 01 19::04:20:44:432	1320.2712465571963	-108.68139919203514	
2016 01 19::04:20:44:932	1371.619930540525	-108.47151011579238	
2016 01 19::04:20:45:432	1587.5881699272475	-107.38803249891708	
2016 01 19::04:20:45:932	1766.104815207956	-106.47861393007753	
2016 01 19::04:20:46:432	1905.5936981316656	-105.6362918801665	
2016 01 19::04:20:46:932	1917.1469078491436	-104.73340265842239	
2016 01 19::04:20:47:432	1971.5868355159075	-104.57264797229175	
2016 01 19::04:20:47:933	2033.5399329776756	-104.35311193113417	
2016 01 19::04:20:48:434	2283.849612388345	-103.09014386175753	
2016 01 19::04:20:48:934	2485.5268890005905	-102.06525593649813	
2016 01 19::04:20:49:435	2522.2680453698877	-102.04448503798282	
2016 01 19::04:20:49:935	2666.6613698725414	-101.92558347507047	
2016 01 19::04:20:50:436	2687.9573574889614	-101.09425830726242	
2016 01 19::04:20:50:936	2707.797211587882	-100.77527492208354	
2016 01 19::04:20:51:437	2808.7456020328978	-100.66692725325181	
2016 01 19::04:20:51:938	2814.3931635147487	-100.11126435493794	
2016 01 19::04:20:52:438	2815.2014330756488	-100.03477784850043	
2016 01 19::04:20:52:938	2853.8540719161424	-99.2647091855928	
2016 01 19::04:20:53:438	3187.2366750820615	-99.06963580828193	
2016 01 19::04:20:53:939	3234.4506598372914	-99.04904436396404	
2016 01 19::04:20:54:440	3314.0707954683458	-98.8528453213964	
2016 01 19::04:20:54:940	3376.8415239572687	-98.5029934201768	
2016 01 19::04:20:55:441	3416.8067044722934	-97.53109618959758	
2016 01 19::04:20:55:942	3427.4554772366514	-97.50665761568717	
2016 01 19::04:20:56:442	3485.498596354039	-97.33678909937403	
2016 01 19::04:20:56:942	3635.9159882867143	-96.33310434817199	
2016 01 19::04:20:57:443	3735.6737360470797	-96.23995228654363	
2016 01 19::04:20:57:943	3823.403738672384	-96.14387458116781	
2016 01 19::04:20:58:443	4054.229363437413	-95.46191801034968	
2016 01 19::04:20:58:944	4162.000200720427	-95.4433812142982	
