Time:	Temperature(C):	Altitude(m):
2016 01 19::04:27:51:238	-114.23432989382557	0.10151903912227753	
2016 01 19::04:27:51:740	-108.42787278019262	0.18866639812712335	
2016 01 19::04:27:52:240	-106.48044252375911	0.22894478277900263	
2016 01 19::04:27:52:742	-105.09457960809624	0.30251006581320594	
2016 01 19::04:27:53:242	-101.85588761376356	0.3229337739957518	
2016 01 19::04:27:53:743	-101.75103595638801	0.39341696817346045	
2016 01 19::04:27:54:244	-101.65617070010029	0.49848022786515245	
2016 01 19::04:27:54:746	-95.86882361128696	0.6306122717887103	
2016 01 19::04:27:55:246	-95.69915336374001	0.6555345821231137	
2016 01 19::04:27:55:748	-95.53363551861713	0.6891235028388412	
2016 01 19::04:27:56:249	-94.56209514044451	0.7019286065936517	
2016 01 19::04:27:56:750	-93.70849027346434	0.7092877273271754	
2016 01 19::04:27:57:250	-93.44126279765847	0.7469205712671946	
2016 01 19::04:27:57:750	-92.14911403828701	1.0163050108363045	
2016 01 19::04:27:58:250	-90.3652265520027	1.0445491724796403	
2016 01 19::04:27:58:750	-90.19775137813723	1.0458031822436387	
2016 01 19::04:27:59:251	-88.00624069138505	1.0959056543567272	
2016 01 19::04:27:59:751	-87.98154856072365	1.1283371029133646	
2016 01 19::04:28:00:251	-87.67237336082817	1.1389417815266298	
2016 01 19::04:28:00:751	-86.50087456287037	1.1605173064325265	
2016 01 19::04:28:01:252	-86.37174135342042	1.2156272659922152	
2016 01 19::04:28:01:752	-85.86199878384932	1.2227824049037004	
2016 01 19::04:28:02:252	-85.11509903095819	1.2359885498501988	
2016 01 19::04:28:02:752	-82.96026116105396	1.2614550599329641	
2016 01 19::04:28:03:252	-82.57651887364719	1.4415905627215038	
2016 01 19::04:28:03:753	-82.38508322982841	1.6421300536251744	
2016 01 19::04:28:04:254	-81.69746691579905	1.6988881391275619	
2016 01 19::04:28:04:754	-81.28617102433573	1.8444487693348628	
2016 01 19::04:28:05:254	-81.14005591023414	1.8716771049273315	
2016 01 19::04:28:05:754	-79.79285196633194	1.9858558652489273	
2016 01 19::04:28:06:254	-78.17406986193012	2.0885895973338524	
2016 01 19::04:28:06:754	-77.84481866839623	2.123375946506244	
2016 01 19::04:28:07:255	-77.73978523880889	2.2075277614063618	
2016 01 19::04:28:07:756	-77.57306585978557	2.2756315980295905	
2016 01 19::04:28:08:256	-77.40798978257207	2.4538270028214644	
2016 01 19::04:28:08:757	-75.73922618416832	2.5316984675835736	
2016 01 19::04:28:09:257	-74.0290082992098	2.5674822464670446	
2016 01 19::04:28:09:758	-73.6461072698573	2.5799806970058876	
2016 01 19::04:28:10:259	-73.39995220113022	2.651084072821332	
2016 01 19::04:28:10:759	-70.30974309544813	2.7139481365200004	
2016 01 19::04:28:11:259	-70.23383576938713	2.7768329350095144	
2016 01 19::04:28:11:760	-69.24567515400747	2.8404219761633924	
2016 01 19::04:28:12:260	-68.67427202129475	2.875878598733817	
2016 01 19::04:28:12:761	-67.97740554197982	3.0394090057625123	
2016 01 19::04:28:13:261	-67.01676889328445	3.096240992189496	
2016 01 19::04:28:13:763	-65.31988480241488	3.153461325393071	
2016 01 19::04:28:14:264	-64.37631559873094	3.1579307124825133	
2016 01 19::04:28:14:764	-63.54003647366063	3.2001707090678853	
2016 01 19::04:28:15:264	-59.65674993184969	3.3553163568418225	
2016 01 19::04:28:15:765	-59.0107738699652	3.4340415901010295	
2016 01 19::04:28:16:265	-57.33980226661281	3.458220821215996	
2016 01 19::04:28:16:766	-56.16615144440661	3.6117092441961254	
2016 01 19::04:28:17:267	-51.901200419000205	3.834965942232388	
2016 01 19::04:28:17:767	-51.636101394448126	3.8717822819059	
2016 01 19::04:28:18:267	-51.099558429078655	3.9003686935147583	
2016 01 19::04:28:18:768	-47.98982399861332	3.903201633123603	
2016 01 19::04:28:19:268	-46.73814959284633	3.9198545729663623	
2016 01 19::04:28:19:768	-46.00957793013902	3.977925882803882	
2016 01 19::04:28:20:269	-41.19533135914653	4.040133112968274	
2016 01 19::04:28:20:769	-38.53141139903337	4.1679255040340495	
2016 01 19::04:28:21:270	-37.37980234392653	4.370877525900509	
2016 01 19::04:28:21:770	-37.3203707490484	4.377970533509375	
2016 01 19::04:28:22:270	-37.249657500979694	4.384412054890424	
2016 01 19::04:28:22:770	-33.76924082996493	4.399103085227146	
2016 01 19::04:28:23:271	-32.12405223339193	4.449642424306118	
2016 01 19::04:28:23:771	-29.739868139623344	4.471693719561677	
2016 01 19::04:28:24:272	-28.215060441673685	4.5123578426026	
2016 01 19::04:28:24:773	-24.07153891343144	4.540876605471265	
2016 01 19::04:28:25:273	-22.892368423197965	4.557141851699468	
2016 01 19::04:28:25:774	-21.221429664484738	4.561496347044911	
2016 01 19::04:28:26:274	-19.45713102184803	4.57883153051024	
2016 01 19::04:28:26:774	-19.196262068047552	4.580616437193791	
2016 01 19::04:28:27:275	-17.147739745972892	4.588343455828888	
2016 01 19::04:28:27:775	-16.377194794249146	4.603796814010295	
2016 01 19::04:28:28:275	-14.247995596322756	4.6979879049102795	
2016 01 19::04:28:28:776	-13.550114993069343	4.724090381396665	
2016 01 19::04:28:29:276	-12.85055986456657	4.778439317025033	
2016 01 19::04:28:29:777	-12.45572430416867	4.887864995811776	
2016 01 19::04:28:30:278	-12.381912925738146	4.8940160631215255	
2016 01 19::04:28:30:778	-8.562642199487712	4.916243542433936	
